Senat;Entscheidungsdatum;Einspieldatum;Aktenzeichen;Link_Aktenzeichen;Zusatzinformationen;Unique_nr;Link_Zusatzinformationen
2. Strafsenat;6.12.2023;7.2.2024;2 StR 270/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=13&nr=136329&pos=393&anz=1274&Blank=1.pdf;"siehe auch: Pressemitteilung Nr. 204/23  vom 6.12.2023,
     Pressemitteilung Nr. 197/23  vom 1.12.2023";136329;['https://juris.bundesgerichtshof.de/cgi-bin/rechtsprechung/document.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=13&nr=135645&linked=pm&Blank=1', 'https://juris.bundesgerichtshof.de/cgi-bin/rechtsprechung/document.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=13&nr=135598&linked=pm&Blank=1']
2. Strafsenat;6.12.2023;29.1.2024;2 StR 332/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=13&nr=136196&pos=394&anz=1274&Blank=1.pdf;;136196;[]
5. Strafsenat;6.12.2023;29.12.2023;5 StR 203/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=13&nr=135850&pos=395&anz=1274&Blank=1.pdf;;135850;[]
5. Strafsenat;6.12.2023;29.12.2023;5 StR 271/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=13&nr=135851&pos=396&anz=1274&Blank=1.pdf;;135851;[]
5. Strafsenat;6.12.2023;21.12.2023;5 StR 281/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=13&nr=135799&pos=397&anz=1274&Blank=1.pdf;;135799;[]
5. Strafsenat;6.12.2023;9.1.2024;5 StR 423/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=13&nr=135972&pos=398&anz=1274&Blank=1.pdf;;135972;[]
5. Strafsenat;6.12.2023;22.12.2023;5 StR 452/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=13&nr=135810&pos=399&anz=1274&Blank=1.pdf;;135810;[]
5. Strafsenat;6.12.2023;23.1.2024;5 StR 453/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=13&nr=136123&pos=400&anz=1274&Blank=1.pdf;;136123;[]
3. Strafsenat;6.12.2023;4.1.2024;AK 87/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=13&nr=135919&pos=401&anz=1274&Blank=1.pdf;;135919;[]
VII. Zivilsenat;6.12.2023;12.1.2024;VII ZR 546/21;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=13&nr=136036&pos=402&anz=1274&Blank=1.pdf;;136036;[]
